App,Category,Rating,Reviews,Size,Installs,Paid/Free,Price,Content Rating,Ad Supported,In App Purchases,Editors Choice
Golden Launcher,PERSONALIZATION,4.4,32794,12,5000000,Free,0,Everyone,Yes,No,No
The Seven Deadly Sins: Grand Cross,Others,4.3,312204,270,10000000,Free,0,Teen,Yes,Yes,Yes
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,21,1000000,Free,0,Everyone,Yes,No,No
Iron Marines: RTS Offline Real Time Strategy Game,Others,4.7,58260,270,500000,Paid,2.99,Everyone 10+,No,Yes,Yes
AI Benchmark,TOOLS,4,97,99,5000,Free,0,Everyone,No,No,No
HealtheLife,MEDICAL,3.6,190,77,100000,Free,0,Everyone,No,No,No
Advanced Task Killer,PRODUCTIVITY,4.4,312204,15,19970000,Free,0,Everyone,No,No,No
Dungeon Quest,FAMILY,4.5,244039,46,5000000,Free,0,Everyone 10+,Yes,Yes,No
Couchsurfing Travel App,Others,3.2,99994,270,5000000,Free,0,Teen,Yes,No,Yes
Comedy Central,Others,3.9,22378,19,1000000,Free,0,Teen,Yes,No,No
senior easy phone,PERSONALIZATION,3.9,168,21,50000,Free,0,Teen,Yes,No,No
Crazy Wheels,GAME,4,121082,70,10000000,Free,0,Teen,Yes,No,No
YesMoney Wallet,FINANCE,4.4,199684,18,5000000,Free,0,Everyone,No,No,No
Talking Tom & Ben News,FAMILY,4.4,312204,41,19970000,Free,0,Everyone,Yes,Yes,No
Kobo Books - eBooks & Audiobooks,BOOKS_AND_REFERENCE,4.3,270245,270,10000000,Free,0,Teen,No,No,Yes
Black People Meet Singles Date,Others,3.9,10212,50,1000000,Free,0,Mature 17+,Yes,No,No
Vector,GAME,4.4,312204,89,19970000,Free,0,Everyone 10+,No,No,No
Elkhart County 4-H Fair,FAMILY,3.9,38,42,5000,Free,0,Everyone,Yes,No,No
Mosaic puzzles,FAMILY,4.4,1595,14,500000,Free,0,Everyone,Yes,No,No
BI Mobile,FINANCE,4.4,337,33,10000,Free,0,Everyone,No,No,No
MARCA - Diario Líder Deportivo,SPORTS,3.9,76340,14,5000000,Free,0,Everyone,Yes,Yes,No
Walk Freely (Ec Shlire),TOOLS,4.7,62,23,1000,Free,0,Everyone,No,No,No
DF Coaching,SPORTS,4,1,36,100,Free,0,Everyone,No,No,No
일곱 개의 대죄: GRAND CROSS,Others,4.1,85170,270,1000000,Free,0,Teen,Yes,Yes,Yes
Q-See QT View,TOOLS,3.6,7357,19,100000,Free,0,Everyone,No,No,No
World War Heroes: WW2 FPS,Others,4.5,312204,270,19970000,Free,0,Teen,Yes,Yes,Yes
Hungry Hearts Diner: A Tale of Star-Crossed Souls,FAMILY,4.9,46253,56,500000,Free,0,Everyone 10+,Yes,Yes,No
Car Crash III Beam DH Real Damage Simulator 2018,GAME,3.6,151,100,10000,Free,0,Everyone,Yes,No,No
Eternium,FAMILY,4.8,,89,10000000,Free,0,Teen,No,Yes,Yes
Turbo Download Manager (and Browser),TOOLS,4,32879,32,5000000,Free,0,Everyone,Yes,No,No
Auto Background Changer,PHOTOGRAPHY,4,35188,62,1000000,Free,0,Everyone,Yes,No,No
Crazy Freekick,SPORTS,3.9,47688,17,5000000,Free,0,Everyone,Yes,No,No
"Mobizen Screen Recorder for LG - Record, Capture",Others,4.5,58820,37,1000000,Free,0,Everyone,Yes,Yes,No
Dr. Rocket,GAME,4,42182,34,1000000,Free,0,Everyone,Yes,No,No
1. FC Köln App,SPORTS,4.6,2019,41,100000,Free,0,Everyone,Yes,No,No
Sir C J New Primary School,FAMILY,5,3,92,100,Free,0,Everyone,No,No,No
U.S.A DV Lottery Process,FAMILY,4.5,8,17,1000,Free,0,Everyone,No,No,No
Amber Weather,Others,4.4,260137,13,10000000,Free,0,Everyone 10+,Yes,Yes,No
"iPair-Meet, Chat, Dating",Others,4.5,182986,77,5000000,Free,0,Mature 17+,Yes,Yes,No
Scratch Logo Quiz. Challenging brain puzzle,GAME,3.3,152102,18,10000000,Free,0,Teen,Yes,Yes,No
Candy Crush Soda Saga,GAME,4.4,312204,67,19970000,Free,0,Everyone,Yes,Yes,No
Samsung SMART CAMERA App,PHOTOGRAPHY,4,34753,22,1000000,Free,0,Everyone,No,No,No
Pixel Gun 3D: FPS Shooter & Battle Royale,Others,4.1,312204,270,19970000,Free,0,Teen,Yes,Yes,Yes
OWLIE BOO,FAMILY,,834,22,100000,Free,0,Everyone,Yes,No,No
Fists For Fighting (Fx3),SPORTS,3.9,138739,44,10000000,Free,0,Teen,Yes,No,No
Portable Wi-Fi hotspot Premium,COMMUNICATION,3.7,481,0.42,10000,Paid,0.99,Everyone,No,No,No
Agent HQ for The Division,FAMILY,4.1,1060,25,100000,Free,0,Everyone,Yes,Yes,No
White Noise Baby,LIFESTYLE,4.5,10544,44,1000000,Free,0,Everyone,Yes,Yes,No
"sugar, sugar",FAMILY,4.2,1405,95,10000,Paid,1.2,Everyone,No,No,No
CL Strength,HEALTH_AND_FITNESS,5,3,40,50,Free,0,Everyone,No,No,No
G-NetWiFi Pro,TOOLS,3.3,6,15,100,Paid,5.99,Everyone,No,No,No
Hi-Smart AC,TOOLS,2.2,32,94,1000,Free,0,Everyone,No,No,No
CHRONO TRIGGER (Upgrade Ver.),FAMILY,3.8,11250,63,100000,Paid,9.99,Everyone 10+,No,No,No
SportsManias Fantasy Team News,SPORTS,3.5,4057,26,500000,Free,0,Everyone,Yes,No,No
Transfer,FINANCE,4.1,31804,98,5000000,Free,0,Everyone,Yes,Yes,No
"Ruler(cm, inch)",TOOLS,3.4,2889,25,500000,Free,0,Everyone,Yes,No,No
Baseball Superstars 2021,SPORTS,4.3,,270,1000000,Free,0,Everyone 10+,Yes,Yes,Yes
Qatar Airways,Others,4.3,11182,62,1000000,Free,0,Everyone,No,No,No
Advanced EX for HYUNDAI,TOOLS,2.7,168,0.17,5000,Paid,4.99,Everyone,No,No,No
"Study Aide : Concentration,Rain,Calm,Piano Music",Others,4.4,3938,270,100000,Free,0,Everyone,Yes,Yes,Yes
S’more - Earn Cash Rewards,PRODUCTIVITY,4.1,15097,14,1000000,Free,0,Everyone,Yes,No,No
BG Monitor Diabetes,MEDICAL,4.4,643,28,10000,Free,0,Everyone,No,Yes,No
R+F PULSE,BUSINESS,3.4,58,30,10000,Free,0,Everyone,No,No,No
Bowling Crew — 3D bowling game,SPORTS,4.5,239005,270,10000000,Free,0,Everyone,Yes,Yes,Yes
NASCAR MOBILE,SPORTS,4.2,80900,21,1000000,Free,0,Everyone,Yes,Yes,No
DH-UFO,FAMILY,5,1,59,100,Free,0,Everyone,No,No,No
Education First FCU Mobile,FINANCE,2.9,204,29,10000,Free,0,Everyone,No,No,No
DW Audio,FAMILY,4.9,38,50,1000,Free,0,Everyone,No,No,No
GLAM - Live video chat,Others,4.4,46664,270,1000000,Free,0,Mature 17+,Yes,Yes,Yes
Heart's Medicine Hospital Heat,Others,4.3,,270,5000000,Free,0,Everyone 10+,Yes,Yes,Yes
Thomas & Friends: Go Go Thomas,FAMILY,4.1,175625,16,10000000,Free,0,Everyone,Yes,Yes,No
loans.com.au Smart Money,FINANCE,3.5,30,17,1000,Free,0,Everyone,No,No,No
BU Library,FAMILY,3.5,4,21,1000,Free,0,Everyone,No,No,No
Meetup,Others,4.2,79129,23,5000000,Free,0,Teen,No,No,No
BI SmartLINK,BUSINESS,3.6,16,33,5000,Free,0,Everyone,No,No,No
bp Magazine for Bipolar,LIFESTYLE,1.8,5,18,1000,Free,0,Everyone 10+,Yes,Yes,No
DX Alert,TOOLS,4.1,27,25,1000,Free,0,Everyone,Yes,No,No
X-Wing Squadron Builder,FAMILY,4.6,5898,50,100000,Free,0,Everyone,No,No,No
Seen,FAMILY,4.5,118285,22,1000000,Free,0,Teen,Yes,Yes,No
ADWLauncher 1 EX,PERSONALIZATION,4.3,28728,28,500000,Paid,2.49,Everyone,No,No,No
Yoga - Track Yoga,HEALTH_AND_FITNESS,4.5,7976,44,500000,Free,0,Everyone,No,Yes,No
Masterchef Cooking Games: Fun Restaurant & Kitchen,FAMILY,3.9,1036,33,100000,Free,0,Everyone,Yes,No,No
Color By Numbers - Art Game for Kids and Adults,FAMILY,3.1,305,83,100000,Free,0,Everyone,Yes,No,No
FD VR - Virtual Reality Camera,FAMILY,4,1007,74,100000,Free,0,Everyone,No,No,No
Life is Strange,Others,4.3,79918,270,1000000,Free,0,Mature 17+,No,Yes,Yes
EO Network,BUSINESS,3.5,13,21,1000,Free,0,Teen,No,No,No
Beauty Makeup – Photo Makeover,PHOTOGRAPHY,4.3,,19,1000000,Free,0,Everyone,Yes,No,No
Deck Heroes: Legacy,GAME,4.7,312204,52,10000000,Free,0,Teen,Yes,Yes,No
Block Strike,GAME,,312204,60,10000000,Free,0,Teen,Yes,Yes,No
Cinemark Theatres,Others,4.1,21867,39,1000000,Free,0,Teen,No,No,No
Al Quran Indonesia,BOOKS_AND_REFERENCE,,312204,16,10000000,Free,0,Everyone,Yes,No,No
First Credit Union (AZ) Mobile,FINANCE,3.5,100,11,10000,Free,0,Everyone,Yes,No,No
AppLock - Fingerprint,TOOLS,4.4,312204,35,10000000,Free,0,Everyone,Yes,No,No
DK Pittsburgh Sports,SPORTS,4.1,556,33,10000,Free,0,Everyone,Yes,No,No
The Guardian,Others,4.7,247992,22,5000000,Free,0,Teen,No,No,No
The Game of Life,GAME,4.4,18621,63,100000,Paid,2.99,Everyone,No,Yes,No
豬來了-全球最in社交遊戲,Others,4,235768,270,1000000,Free,0,Everyone,No,Yes,Yes
Burrito Bash – We Bare Bears,FAMILY,4.3,10776,21,1000000,Free,0,Everyone,Yes,No,No
Extreme Car Driving Simulator,GAME,4.3,312204,52,19970000,Free,0,Everyone,Yes,Yes,No
SDA Sabbath School Quarterly,BOOKS_AND_REFERENCE,4.7,14773,64,500000,Free,0,Everyone,Yes,No,No
ZERO Lock Screen,TOOLS,3.5,75336,0.544,1000000,Free,0,Everyone,Yes,No,No
"Flipboard - Latest News, Top Stories & Lifestyle",Others,4.1,312204,270,19970000,Free,0,Everyone 10+,Yes,No,Yes
DT Fieldlink,BUSINESS,3,2,49,500,Free,0,Everyone,No,No,No
C Programming Zone,FAMILY,4.6,1218,40,50000,Free,0,Everyone,Yes,No,No
Angry Birds Classic,GAME,4.4,312204,97,19970000,Free,0,Everyone,Yes,Yes,No
Candy Crush Saga,GAME,4.4,312204,74,19970000,Free,0,Everyone,Yes,Yes,No
Chemin (fr),BOOKS_AND_REFERENCE,4.8,44,0.619,1000,Free,0,Everyone,No,No,No
Skylink Live TV CZ,FAMILY,3.3,2802,15,100000,Free,0,Teen,No,No,No
"Meet24 - Love, Chat, Singles",Others,4.2,57081,79,1000000,Free,0,Mature 17+,Yes,Yes,No
Channel U,FAMILY,4.6,34,14,1000,Free,0,Everyone,No,No,No
Sword Art Online: Integral Factor,FAMILY,4,45359,32,1000000,Free,0,Everyone 10+,No,Yes,No
GoAction,Others,3.6,1522,65,100000,Free,0,Everyone,No,No,No
FaFaFa™ Gold Casino: Free slot machines,GAME,4.3,11051,44,1000000,Free,0,Teen,Yes,Yes,No
Pixxy KWGT,PERSONALIZATION,4.8,60,78,1000,Paid,0.99,Everyone,No,No,No
KBA-EZ Health Guide,MEDICAL,,4,25,1,Free,0,Everyone,No,No,No
Real Football,SPORTS,4.1,312204,33,10000000,Free,0,Everyone,Yes,Yes,No
S Launcher for Galaxy TouchWiz,PERSONALIZATION,4.2,,22,1000000,Free,0,Everyone,No,No,No
"Egg, Inc.",FAMILY,4.7,312204,29,5000000,Free,0,Everyone,Yes,Yes,Yes
Baldur's Gate II,FAMILY,4.3,5442,16,50000,Paid,9.99,Teen,No,Yes,No
Urban Outfitters,Others,4.2,4158,23,500000,Free,0,Teen,No,No,No
Allsetra B.V.,BUSINESS,4.1,15,24,1000,Free,0,Everyone,No,No,No
Marked by King Bs,FAMILY,4.6,70335,58,500000,Free,0,Teen,Yes,Yes,No
AZ Practice Test & Questions,FAMILY,4.4,13,34,1000,Free,0,Everyone,Yes,No,No
MyQuest for Patients,MEDICAL,4,3803,16,100000,Free,0,Everyone,No,No,No
Learn English for beginners,Others,4.5,1929,25,500000,Free,0,Everyone,Yes,No,No
카카오뱅크,FINANCE,3.1,42399,270,10000000,Free,0,Everyone,No,No,Yes
Carnivores: Dinosaur Hunter,GAME,4.2,62636,17,1000000,Free,0,Teen,Yes,Yes,No
Badland Brawl,Others,4.3,141448,270,10000000,Free,0,Everyone,Yes,Yes,Yes
P Theme for Android™ P 9.0 Style Launcher,PERSONALIZATION,4.5,216,57,50000,Free,0,Everyone,Yes,Yes,No
Swahili Radio,Others,4.5,171,48,10000,Free,0,Everyone,Yes,No,No
VCalendar - VenkatRama and Co,LIFESTYLE,4.3,87,39,10000,Free,0,Everyone,Yes,No,No
SYFY,FAMILY,3.2,3069,18,500000,Free,0,Teen,Yes,No,No
Modcloth – Unique Indie Women's Fashion & Style,Others,4.2,,88,500000,Free,0,Everyone,No,No,No
Cheating Tom 3 - Genius School,GAME,4.3,90415,84,10000000,Free,0,Everyone,Yes,Yes,No
Fruit Ninja®,GAME,4.3,312204,41,19970000,Free,0,Everyone,Yes,Yes,Yes
Antenna Tool,TOOLS,4.2,522,29,50000,Free,0,Everyone,Yes,No,No
Toy Pop Cubes,FAMILY,4.5,5761,21,1000000,Free,0,Everyone,Yes,Yes,No
Instachat 😜,Others,4,80987,25,5000000,Free,0,Teen,No,No,No
Explore Sedona & Northern AZ,Others,3.8,43,22,10000,Free,0,Everyone,Yes,No,No
DS App Manager,TOOLS,4.6,14,21,1000,Free,0,Everyone,Yes,No,No
Dumb Ways to Die 2: The Games,Others,4.4,312204,270,19970000,Free,0,Teen,Yes,Yes,Yes
Groovebook Photo Books & Gifts,PHOTOGRAPHY,,21159,36,500000,Free,0,Everyone,No,No,No
Expert C Programming - Learn C Coding Easily,FAMILY,4.4,77,69,5000,Free,0,Everyone,Yes,Yes,No
Tools & Mi Band,HEALTH_AND_FITNESS,4.4,15753,13,100000,Paid,3.49,Everyone,No,No,No
SEEK Job Search,BUSINESS,4.3,22097,270,1000000,Free,0,Everyone,No,No,Yes
Six Pack in 30 Days - Abs Workout,HEALTH_AND_FITNESS,4.9,272337,13,10000000,Free,0,Everyone,Yes,Yes,Yes
