App,Category,Rating,Reviews,Size,Installs,Paid/Free,Price,Content Rating,Ad Supported,In App Purchases,Editors Choice
English Audio Books - Librivox,FAMILY,4,10773,10,1000000,Free,0,Everyone,Yes,No,No
Love Signal: D-Mate,FAMILY,4.3,1895,72,50000,Free,0,Everyone,Yes,Yes,No
AW Training,FAMILY,4.6,11,17,1000,Free,0,Everyone,No,No,No
BV Mobile Apps,PRODUCTIVITY,5,3,48,100,Free,0,Everyone,Yes,No,No
TriPeaks Solitaire Cards Queen,Others,4,3219,270,100000,Free,0,Everyone,Yes,Yes,Yes
realcommercial.com.au,BUSINESS,4.4,128,67,50000,Free,0,Everyone,Yes,No,No
Alto's Odyssey,Others,4.6,214545,270,10000000,Free,0,Everyone,Yes,Yes,Yes
HotPads Apartments & Home Rentals,Others,4.5,33609,270,1000000,Free,0,Everyone,No,No,Yes
Cisco Webex Meetings,BUSINESS,4.4,108741,28,10000000,Free,0,Everyone,No,No,No
Be Fabulous PHOTO BOOTH,PHOTOGRAPHY,4.1,560,17,10000,Free,0,Everyone,Yes,Yes,No
The translator,TOOLS,4.5,23805,41,1000000,Free,0,Everyone,Yes,No,No
Broken Screen Prank,FAMILY,3.3,23682,98,1000000,Free,0,Teen,Yes,No,No
CT Abdomen,FAMILY,4.3,7,62,1000,Free,0,Everyone,No,No,No
EZ LED,TOOLS,,19,21,1000,Free,0,Everyone,No,No,No
ZALORA - Fashion Shopping,Others,4.2,,270,10000000,Free,0,Everyone,No,No,Yes
Talking Ben the Dog,Others,,312204,57,19970000,Free,0,Everyone,Yes,Yes,No
LG AV REMOTE,TOOLS,3.4,2420,18,1000000,Free,0,Everyone,No,No,No
Phantom Rose Scarlet,Others,4.7,19996,270,100000,Free,0,Teen,Yes,Yes,Yes
Meme Creator,Others,4.2,38769,44,1000000,Free,0,Mature 17+,Yes,No,No
Castlight Mobile,MEDICAL,3.7,529,26,100000,Free,0,Everyone,No,No,No
PUBG MOBILE - Traverse,Others,4.3,312204,270,19970000,Free,0,Teen,Yes,Yes,Yes
GasBuddy: Find and Pay for Cheap Gas and Fuel,Others,4.4,,270,10000000,Free,0,Everyone,Yes,No,Yes
MilkChoco,Others,4.3,312204,270,10000000,Free,0,Everyone 10+,Yes,Yes,Yes
Poly Star : Prince story,Others,4.5,4189,270,100000,Free,0,Everyone,Yes,Yes,Yes
Je Parle ANGLAIS - Apprendre l’anglais Audio cours,FAMILY,4.4,499,27,100000,Free,0,Everyone,Yes,Yes,No
Blood Pressure,MEDICAL,4.2,33033,74,5000000,Free,0,Everyone,Yes,No,No
EF English Live Business,FAMILY,3.6,496,14,100000,Free,0,Everyone,No,No,No
DQ Texas,Others,4.1,336,13,100000,Free,0,Everyone,No,No,No
Browser 4G,COMMUNICATION,4.3,192948,66,10000000,Free,0,Everyone,Yes,No,No
Deliveroo: Takeaway food,Others,4.5,312204,270,10000000,Free,0,Everyone,No,No,Yes
GOAT – Sneakers & Apparel,Others,3.8,28136,270,5000000,Free,0,Everyone,No,No,Yes
B&M Stores,Others,3.7,192,36,100000,Free,0,Everyone,No,No,No
Geometry Dash World,GAME,4.6,312204,63,10000000,Free,0,Everyone,Yes,No,No
F-Gas Solutions,BUSINESS,4.2,127,14,10000,Free,0,Everyone,No,No,No
Kinot Tisha'a Be'av - Ashkenaz,LIFESTYLE,4.5,82,87,5000,Free,0,Everyone,No,No,No
애니팡4,Others,4.2,51925,270,1000000,Free,0,Everyone,Yes,Yes,Yes
To Do Reminder with Alarm,PRODUCTIVITY,4.4,72161,49,1000000,Free,0,Everyone,Yes,Yes,No
Ethical Hacking,FAMILY,4.1,128,32,10000,Free,0,Everyone,Yes,No,No
Fruits Bomb,GAME,4.4,74673,17,10000000,Free,0,Everyone,Yes,No,No
Bleacher Report Live,SPORTS,4,232,32,50000,Free,0,Everyone,Yes,Yes,No
Throw Knife,FAMILY,3.7,291,37,100000,Free,0,Everyone,Yes,Yes,No
Offroad Pickup Truck R,FAMILY,4.4,6367,96,1000000,Free,0,Everyone,Yes,Yes,No
Real Madrid App,SPORTS,4.6,161423,73,5000000,Free,0,Everyone,Yes,Yes,No
EGW Writings,BOOKS_AND_REFERENCE,4.7,24278,31,1000000,Free,0,Everyone,No,No,No
LineStar For DK,SPORTS,4.3,1387,14,50000,Free,0,Everyone,Yes,Yes,No
Commonwealth CU Go Mobile,FINANCE,4.3,231,18,10000,Free,0,Everyone,No,No,No
"Mind Map AR, Augmented Reality ARCore Mind Mapping",PRODUCTIVITY,4.2,29,35,5000,Free,0,Everyone,Yes,Yes,No
알바천국- 알바 구인구직 포털서비스,BUSINESS,4.5,14950,270,10000000,Free,0,Everyone,Yes,No,Yes
Live DV,PHOTOGRAPHY,2,16,17,1000,Free,0,Everyone,No,No,No
Family Guy- Another Freakin' Mobile Game,FAMILY,4.5,221691,94,5000000,Free,0,Teen,Yes,Yes,No
DEAD TRIGGER 2 - Zombie Game FPS shooter,Others,4.5,312204,270,19970000,Free,0,Mature 17+,Yes,Yes,Yes
Dr. Panda Town: Vacation,FAMILY,3.8,10366,78,1000000,Free,0,Everyone,No,Yes,No
Texas HoldEm Poker Deluxe,GAME,4.5,312204,26,10000000,Free,0,Teen,Yes,Yes,No
Tamago Tap Clicker Egg,FAMILY,3.6,209,16,50000,Free,0,Everyone,Yes,Yes,No
cloudLibrary,BOOKS_AND_REFERENCE,4,10774,35,100000,Free,0,Everyone,No,No,No
Bistro Heroes,Others,4.6,62698,270,1000000,Free,0,Everyone 10+,Yes,Yes,Yes
Davis's Drug Guide for Nurses,MEDICAL,4.5,572,44,50000,Free,0,Everyone,No,Yes,No
Megapolis: city building simulator. Urban strategy,Others,4.4,312204,270,19970000,Free,0,Everyone,Yes,Yes,Yes
Tomb of the Mask,GAME,4.1,55380,39,5000000,Free,0,Everyone,Yes,Yes,No
"Inkitt: Books, Novels, Stories",BOOKS_AND_REFERENCE,4.4,53533,270,1000000,Free,0,Teen,No,No,Yes
Add Text To Photo,PHOTOGRAPHY,,21578,16,1000000,Free,0,Everyone,Yes,No,No
11st,Others,3.8,48732,20,10000000,Free,0,Everyone,No,No,No
What Am I? - Brain Teasers,GAME,4.2,4537,15,100000,Free,0,Everyone,Yes,Yes,No
Piczle Lines DX,FAMILY,4.6,281,26,5000,Free,0,Everyone,No,Yes,No
Interactive CT and MRI Anatomy,MEDICAL,3.4,35,24,1000,Paid,15.46,Everyone,No,No,No
AXE.IO - Brutal Survival Battleground,GAME,4.2,3845,76,500000,Free,0,Everyone 10+,Yes,Yes,No
BBW Dating & Curvy Singles Chat- LargeFriends,Others,4.4,218,27,10000,Free,0,Mature 17+,No,Yes,No
H Band 2.0,HEALTH_AND_FITNESS,2.9,,89,500000,Free,0,Everyone,No,No,No
Card Thief,Others,4.2,22129,270,1000000,Free,0,Everyone,Yes,Yes,Yes
Gps Route Finder,Others,,652,34,100000,Free,0,Everyone,Yes,No,No
FL Lottery Results,FAMILY,4.6,1481,31,50000,Free,0,Teen,Yes,No,No
U Camera : Phone 6s OS 9 style,PHOTOGRAPHY,4.2,2158,30,500000,Free,0,Everyone,Yes,No,No
Sonic 4™ Episode I,GAME,3.7,8014,37,100000,Paid,2.99,Everyone,No,No,No
Female Daily,Others,3.9,4354,42,100000,Free,0,Teen,No,No,No
H TV,Others,4.3,103078,56,5000000,Free,0,Everyone,Yes,No,No
Adblock Plus for Samsung Internet - Browse safe.,COMMUNICATION,4,8769,21,1000000,Free,0,Everyone,No,No,No
Virtual Dice EX,GAME,4.3,40,36,5000,Free,0,Everyone,Yes,No,No
Lezhin Comics - Daily Releases,Others,3,28447,15,1000000,Free,0,Teen,No,Yes,No
Service Disabler,TOOLS,4.3,534,30,100000,Free,0,Everyone,Yes,Yes,No
Fishdom,Others,4.4,312204,270,19970000,Free,0,Everyone,Yes,Yes,Yes
Mad Skills BMX 2,GAME,4.5,29940,80,1000000,Free,0,Everyone,Yes,Yes,Yes
BN Pro LcdD Legacy Text,Others,3.9,71,0.412,10000,Free,0,Everyone,No,No,No
Learn To Draw Glow Flower,FAMILY,4.4,7320,10,1000000,Free,0,Everyone,Yes,Yes,No
Gold Wallpapers,PERSONALIZATION,4.5,43,28,10000,Free,0,Everyone,Yes,No,No
Jungle Marble Blast,GAME,4.3,18985,23,5000000,Free,0,Everyone,Yes,Yes,No
YouTube TV - Watch & Record Live TV,FAMILY,4.4,38517,17,1000000,Free,0,Teen,Yes,No,No
aa,FAMILY,4.2,312204,65,19970000,Free,0,Everyone,No,No,No
UNICORN - Color By Number & Pixel Art Coloring,Others,4.7,8145,24,500000,Free,0,Everyone,Yes,Yes,No
that's lit,GAME,4.7,1115,39,100000,Free,0,Everyone,Yes,No,No
The T Factor,Others,4.8,48,13,1000,Free,0,Everyone,No,No,No
No.Diamond – Colors by Number,FAMILY,4.6,9016,24,1000000,Free,0,Everyone,Yes,Yes,No
Co-op Connections,Others,1.6,8,18,1000,Free,0,Everyone,No,No,No
Accounting App - Zoho Books,BUSINESS,4.5,3079,85,100000,Free,0,Everyone,No,Yes,No
Offroad Pickup Truck F,FAMILY,4.3,4551,79,500000,Free,0,Everyone,Yes,Yes,No
RunDay – 30 minutes running PT,HEALTH_AND_FITNESS,4.7,12726,270,100000,Free,0,Everyone,Yes,Yes,Yes
Gormey: Find Best Restaurants,Others,4.3,34,76,1000,Free,0,Everyone,No,No,No
Zumper - Apartment Rental Finder,Others,4.4,11200,25,1000000,Free,0,Everyone,No,No,Yes
Comboios de Portugal,Others,3.4,1147,19,100000,Free,0,Everyone,No,No,No
Thai Sic Bo,GAME,4.1,14283,42,1000000,Free,0,Teen,Yes,No,No
DL Calculator,SPORTS,4.5,177,11,10000,Free,0,Everyone,No,No,No
db.Mobil App,Others,4.5,23,31,5000,Free,0,Everyone,No,No,No
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32,1000000,Free,0,Everyone,Yes,Yes,No
BK Gold App,FINANCE,5,,11,50,Free,0,Everyone,No,No,No
Doll House Design & Decoration 2: Girls House Game,FAMILY,3.9,2338,45,100000,Free,0,Everyone,Yes,No,No
Cut the Rope GOLD,FAMILY,4.6,61264,43,1000000,Paid,0.99,Everyone,Yes,Yes,No
Apartment Decorating Ideas,Others,3.9,1478,57,100000,Free,0,Everyone,Yes,No,No
Rivals at War: Firefight,GAME,4.4,312204,51,5000000,Free,0,Teen,Yes,Yes,No
Bank of America Mobile Banking,FINANCE,4.4,312204,53,10000000,Free,0,Everyone,No,No,No
Bathroom Decorating Ideas,Others,4.1,2427,53,500000,Free,0,Everyone,Yes,No,No
R Programming Language,FAMILY,3.8,39,29,1000,Free,0,Everyone,Yes,No,No
Gainesville Florida Police Department,LIFESTYLE,4.8,4,15,500,Free,0,Everyone,No,No,No
Bubbu – My Virtual Pet,FAMILY,4.7,312204,75,10000000,Free,0,Everyone,Yes,Yes,No
DB Train Simulator,FAMILY,3.7,6514,72,500000,Free,0,Everyone,No,No,No
Moto Rider,GAME,4.2,115176,24,10000000,Free,0,Teen,Yes,No,No
"Gametime - Tickets to Sports, Concerts, Theater",Others,4.5,8800,24,1000000,Free,0,Everyone,No,No,No
Need for Speed™ No Limits,GAME,4.4,312204,22,19970000,Free,0,Everyone 10+,No,Yes,Yes
Sverige Tidningar,Others,4.1,905,40,50000,Free,0,Everyone,Yes,No,No
English Conversation Courses,FAMILY,4.6,22165,68,1000000,Free,0,Everyone,Yes,Yes,No
Moto Photo Editor,PHOTOGRAPHY,3.3,3492,17,5000000,Free,0,Everyone,No,No,No
Cursive Writing Wizard - Handwriting,FAMILY,4,3745,31,1000000,Free,0,Everyone,No,Yes,No
Lollipop Launcher Plus,PERSONALIZATION,4.1,131,0.027,1000,Paid,4.99,Everyone,No,No,No
Huntington Mobile,FINANCE,4.2,11264,24,1000000,Free,0,Everyone,No,No,No
BZ Fingers,GAME,4.6,15,32,50,Free,0,Everyone,Yes,No,No
Dr. Chess,GAME,4.1,97209,67,1000000,Free,0,Everyone,Yes,No,No
BZ Reminder,BUSINESS,4.7,41625,54,1000000,Free,0,Everyone,Yes,Yes,No
Merge Safari - Fantastic Animal Isle,Others,4.3,17691,270,1000000,Free,0,Everyone,Yes,Yes,Yes
Basketball Stars,SPORTS,4.4,312204,45,10000000,Free,0,Everyone,Yes,Yes,No
"YouCut - Video Editor & Video Maker, No Watermark",Others,4.6,98819,27,5000000,Free,0,Everyone,Yes,Yes,No
Standoff 2,GAME,4.5,299046,47,10000000,Free,0,Mature 17+,Yes,Yes,No
Florence,Others,4.7,12985,270,100000,Paid,2.99,Everyone,No,No,Yes
Chess for Kids - Play & Learn,FAMILY,4.1,3234,47,100000,Free,0,Everyone,No,Yes,No
Calendar+ Schedule Planner App,PRODUCTIVITY,,8985,57,1000000,Free,0,Everyone,Yes,Yes,No
Truck Driver Cargo,GAME,4.1,257531,44,10000000,Free,0,Everyone 10+,Yes,No,No
Candy simply-Fi,LIFESTYLE,2.1,2390,35,100000,Free,0,Everyone,No,No,No
JackThreads: Men's Shopping,Others,4,13085,27,1000000,Free,0,Teen,Yes,No,No
The Home Depot,Others,4.3,44071,56,5000000,Free,0,Everyone,No,No,No
Pocket: Save. Read. Grow.,Others,4.7,291412,270,10000000,Free,0,Everyone,No,Yes,Yes
Nursing Central,MEDICAL,4.3,168,58,10000,Free,0,Everyone,No,Yes,No
"Ginger Keyboard - Emoji, GIFs, Themes & Games",PRODUCTIVITY,4.4,162831,43,5000000,Free,0,Everyone,Yes,Yes,No
Bullet Force,GAME,4.5,312204,58,10000000,Free,0,Teen,No,Yes,No
Gas Station,Others,4,1288,45,100000,Free,0,Everyone,Yes,Yes,No
Roll Call News,Others,3.7,24,10,5000,Free,0,Everyone,Yes,No,No
Dr. Dominoes,GAME,4,2700,57,500000,Free,0,Everyone,Yes,No,No
30 Day Ab Challenge,HEALTH_AND_FITNESS,4.5,1886,76,500000,Free,0,Everyone,Yes,Yes,No
FINAL FANTASY V,FAMILY,4.5,15924,42,100000,Paid,7.99,Teen,No,No,No
"Trello: Organize anything with anyone, anywhere!",PRODUCTIVITY,4.5,103400,270,10000000,Free,0,Everyone,No,No,Yes
Fishing Superstars,SPORTS,4.2,298866,270,10000000,Free,0,Everyone,Yes,Yes,Yes
DC Public Library,BOOKS_AND_REFERENCE,4.2,20,34,1000,Free,0,Everyone,No,No,No
우리의식탁 - 요리를 스타일하다,Others,4.3,1996,270,500000,Free,0,Everyone,No,No,Yes
Amino: Communities and Chats,Others,4.8,312204,62,10000000,Free,0,Teen,Yes,Yes,No
Sydney FC Official App,SPORTS,4.6,57,17,5000,Free,0,Everyone,Yes,No,No
Toddler Kids Puzzles PUZZINGO,FAMILY,4.6,,60,1000000,Free,0,Everyone,No,Yes,No
Fish|Hunt FL,LIFESTYLE,3.6,853,34,100000,Free,0,Everyone,No,No,No
Offroad Car G,FAMILY,4.3,64884,37,5000000,Free,0,Everyone,Yes,No,No
OXENFREE,Others,4.1,1800,270,10000,Paid,4.99,Teen,No,No,Yes
Grenada Co-operative Bank,FINANCE,4.4,137,0.4,10000,Free,0,Everyone,No,No,No
DIRECTV for Tablets,FAMILY,3.9,24123,69,1000000,Free,0,Teen,Yes,No,No
Audio Murli Glossary For BK,FAMILY,4.7,39,20,1000,Free,0,Everyone,No,No,No
WhatsApp Business,COMMUNICATION,4.4,136662,32,10000000,Free,0,Everyone,No,No,No
MyMTN,PRODUCTIVITY,4,8550,15,1000000,Free,0,Everyone,Yes,No,No
Messenger Lite: Free Calls & Messages,COMMUNICATION,3.9,312204,270,19970000,Free,0,Everyone,No,No,Yes
Diabetes & Diet Tracker,MEDICAL,4.6,395,19,1000,Paid,9.99,Everyone,No,No,No
Bridge Constructor Portal,Others,4.4,13517,270,500000,Paid,4.99,Everyone 10+,No,Yes,Yes
"AllTrails: Hiking, Running & Mountain Bike Trails",HEALTH_AND_FITNESS,4.3,16943,32,1000000,Free,0,Everyone,Yes,Yes,Yes
Raytheon F-16 EW 360 VR,FAMILY,4.5,6,22,500,Free,0,Everyone,No,No,No
FP Charging Daydream,PERSONALIZATION,3.5,96,38,5000,Free,0,Everyone,No,No,No
BTS J-Hope Wallpaper KPOP Fans HD,PERSONALIZATION,4.7,98,34,10000,Free,0,Everyone,Yes,No,No
Fortune City - A Finance App,FINANCE,4.6,49275,91,500000,Free,0,Everyone,Yes,Yes,Yes
Hello Kitty Nail Salon,GAME,4.2,312204,24,19970000,Free,0,Everyone,Yes,Yes,No
Microsoft Power BI–Business data analytics,BUSINESS,4.5,1819,10,100000,Free,0,Everyone,No,No,No
Magana Jari ce Littafi Na Uku : Part 3 of 3,FAMILY,4.8,65,55,5000,Free,0,Everyone,Yes,No,No
DV Lottery Simulator,FAMILY,4.6,13,13,1000,Free,0,Everyone,No,No,No
Dr. B.R.Ambedkar,Others,4.8,1902,52,100000,Free,0,Everyone,No,No,No
DC Metro Transit - Free,Others,4.4,6895,10,500000,Free,0,Everyone,Yes,No,No
BLACKJACK!,GAME,4.4,312204,33,10000000,Free,0,Teen,Yes,Yes,No
그린카 – 이동을 새로 그리다,Others,2.9,14699,270,1000000,Free,0,Everyone,Yes,No,Yes
MakeupPlus - Your Own Virtual Makeup Artist,PHOTOGRAPHY,4.4,312204,53,19970000,Free,0,Everyone,Yes,No,No
Seekers Notes: Hidden Mystery,Others,4.3,312204,270,10000000,Free,0,Everyone,Yes,Yes,Yes
Forest: Stay focused,PRODUCTIVITY,4.7,312204,270,10000000,Free,0,Everyone,Yes,Yes,Yes
CT-Guide & Positioning,FAMILY,3.7,6,78,1000,Free,0,Everyone,Yes,No,No
Kymco AK 550,Others,4.3,47,58,1000,Free,0,Everyone,No,No,No
EY India Tax Insights,BUSINESS,4.7,87,51,10000,Free,0,Everyone,No,No,No
DR.MEEP,FAMILY,4.4,54,33,500,Paid,2.99,Everyone,No,No,No
Age of Procreation DX,FAMILY,4.3,,40,100000,Free,0,Mature 17+,Yes,Yes,No
Citizens Bank Mobile Banking,FINANCE,4.1,,38,1000000,Free,0,Everyone,No,No,No
Web Browser,COMMUNICATION,4.2,10965,23,500000,Free,0,Everyone,Yes,No,No
Google Analytics,BUSINESS,4.5,78662,22,1000000,Free,0,Everyone,No,No,No
"Cash, Inc. Money Clicker Game & Business Adventure",GAME,4.8,,85,10000000,Free,0,Everyone,Yes,Yes,Yes
Yahoo奇摩新聞 - 即時重要資訊、議題懶人卡,Others,4,34394,270,1000000,Free,0,Everyone,Yes,No,Yes
NOOK Audiobooks,BOOKS_AND_REFERENCE,3.5,2539,86,500000,Free,0,Everyone,No,No,No
Lara Croft GO,Others,4.6,95121,270,1000000,Paid,5.99,Everyone,No,Yes,Yes
Check Lottery Tickets - Florida,FAMILY,2,27,31,5000,Free,0,Teen,Yes,No,No
SA HLA BU,BOOKS_AND_REFERENCE,4.7,119,15,1000,Free,0,Everyone,No,No,No
Reigns: Her Majesty,Others,4.7,23350,270,100000,Paid,2.99,Teen,No,No,Yes
Girly Wallpapers Backgrounds,LIFESTYLE,4.4,13565,33,1000000,Free,0,Everyone,Yes,No,No
Dr. Sudoku,FAMILY,3.5,2310,31,500000,Free,0,Everyone,Yes,No,No
British Airways,Others,4.2,25740,51,1000000,Free,0,Everyone,No,No,No
Four In A Line,GAME,3.8,22191,30,1000000,Free,0,Everyone,Yes,No,No
Morse Machine for Ham Radio,COMMUNICATION,4.8,341,96,5000,Paid,0.99,Everyone,No,No,No
Florida State Gameday,SPORTS,4.7,1566,26,50000,Free,0,Everyone,Yes,No,No
W Box VMS,Others,1.9,105,91,10000,Free,0,Everyone,No,No,No
LOCARI（ロカリ） - オトナ女子向けライフスタイル情報アプリ,Others,4.4,9824,270,1000000,Free,0,Everyone,Yes,No,Yes
EZ-GUI Ground Station,TOOLS,4.7,3696,29,50000,Free,0,Everyone,Yes,No,No
Call Recorder,Others,4.7,48,69,1000,Free,0,Everyone,Yes,No,No
"Meitu – Beauty Cam, Easy Photo Editor",PHOTOGRAPHY,4.5,312204,45,10000000,Free,0,Everyone,No,Yes,No
Stack Jump,GAME,4.3,118253,40,10000000,Free,0,Teen,Yes,Yes,No
브런치 - 좋은 글과 작가를 만나는 공간,Others,3.9,3556,270,1000000,Free,0,Teen,No,No,Yes
BURST Professionals,MEDICAL,4.5,11,25,1000,Free,0,Everyone,No,No,No
DC-014,PHOTOGRAPHY,5,3,16,500,Free,0,Everyone,No,No,No
Urban Fisherman M,SPORTS,4.3,10801,270,500000,Free,0,Everyone,Yes,Yes,Yes
CX-OF,FAMILY,4.2,18,37,1000,Free,0,Everyone,No,No,No
Skater Boy,GAME,4.3,312204,12,19970000,Free,0,Everyone,Yes,No,No
Alchemy Classic Ad Free,FAMILY,,20178,90,100000,Free,0,Everyone,No,Yes,No
Transformers Rescue Bots: Hero Adventures,FAMILY,4.2,41273,16,5000000,Free,0,Everyone,Yes,Yes,No
BD All Results,FAMILY,4.1,205,73,50000,Free,0,Everyone,Yes,No,No
Black White Interracial Dating - Interracial Match,Others,4.1,535,28,100000,Free,0,Mature 17+,No,Yes,No
"Today Weather - Widget, Forecast, Radar & Alert",Others,4.3,75602,270,1000000,Free,0,Everyone,Yes,Yes,Yes
Blagues et Histoires Drôles,FAMILY,3.9,859,53,100000,Free,0,Teen,Yes,No,No
Bestie - Camera360 Selfie,PHOTOGRAPHY,4.5,312204,23,10000000,Free,0,Everyone,Yes,No,No
Hypertension Hi blood pressure,MEDICAL,3.8,292,27,100000,Free,0,Everyone,Yes,No,No
EB Mobile,FAMILY,1.7,1172,56,10000,Free,0,Everyone,No,No,No
Injustice: Gods Among Us,GAME,4.4,312204,32,10000000,Free,0,Teen,No,Yes,No
Music Maker JAM - Song & Beatmaker app,Others,4.5,312204,270,10000000,Free,0,Everyone,Yes,Yes,Yes
"Movies by Flixster, with Rotten Tomatoes",Others,4.5,,16,10000000,Free,0,Everyone,Yes,No,No
Adobe Photoshop Sketch,Others,4.1,37613,270,5000000,Free,0,Everyone,No,No,Yes
FC Bayern Munich,SPORTS,4.6,37140,71,1000000,Free,0,Everyone,No,No,No
TASOKARE HOTEL,Others,4.8,10961,270,100000,Free,0,Teen,Yes,Yes,Yes
G-Switch,GAME,,4116,88,100000,Free,0,Everyone,Yes,No,No
Fun Texas Hold'em Poker,GAME,4.5,32831,24,500000,Free,0,Teen,Yes,Yes,No
Ax 3 Domaines,SPORTS,4.5,12,23,1000,Free,0,Everyone,Yes,No,No
NHL,SPORTS,4,68935,48,5000000,Free,0,Everyone,Yes,Yes,No
Easy Drawing: How to draw Step by Step,LIFESTYLE,4.4,77344,270,10000000,Free,0,Everyone,Yes,Yes,Yes
InterracialCupid - Interracial Dating App,Others,3.4,212,30,50000,Free,0,Mature 17+,No,Yes,No
Flight Simulator: Fly Plane 3D,FAMILY,4,312204,21,19970000,Free,0,Everyone,Yes,No,No
Sat-Fi Voice,COMMUNICATION,3.4,37,14,1000,Free,0,Everyone,No,No,No
Into the Dead 2: Zombie Survival,Others,4.5,312204,270,10000000,Free,0,Mature 17+,Yes,Yes,Yes
Primitive Brothers : Endless Evolution,Others,4.5,124576,270,1000000,Free,0,Teen,Yes,Yes,Yes
Knights Chronicle,Others,4.3,114874,270,1000000,Free,0,Teen,Yes,Yes,Yes
RollerCoaster Tycoon® Classic,GAME,4.6,10795,69,100000,Paid,5.99,Everyone,No,Yes,No
Sai Baba - Sabka Malik Ek,PRODUCTIVITY,4.9,42,38,1000,Free,0,Everyone,No,No,No
Peppa Pig: Party Time,FAMILY,3.8,52,55,10000,Paid,2.99,Everyone,No,No,No
Dr. Parker : Real car parking simulation,GAME,,15829,95,1000000,Free,0,Everyone,Yes,Yes,No
マンガほっと - 人気・名作マンガが毎日読める漫画アプリ,Others,3.5,3574,270,500000,Free,0,Mature 17+,Yes,Yes,Yes
M star Dialer,COMMUNICATION,3.5,400,42,100000,Free,0,Everyone,No,No,No
Banana Kong,GAME,4.4,312204,68,19970000,Free,0,Everyone,Yes,Yes,No
Reminder,Others,4.5,7074,63,500000,Free,0,Everyone,No,No,No
"KKBOX - Music and podcasts, anytime, anywhere!",Others,4.2,312204,270,10000000,Free,0,Teen,Yes,Yes,Yes
HumorCast - Authentic Weather,Others,4.4,6495,40,100000,Free,0,Teen,Yes,Yes,No
CT Scan Viewer 3D,MEDICAL,4.2,6,29,1000,Free,0,Everyone,No,No,No
Strike! Ten Pin Bowling,SPORTS,4.2,18584,49,5000000,Free,0,Everyone,Yes,Yes,No
WDAMAGE: Car Crash Engine,GAME,3.8,47386,96,1000000,Free,0,Everyone,Yes,Yes,No
Heavy Bus Simulator,FAMILY,4.4,252006,26,5000000,Free,0,Everyone,Yes,No,No
RoboPad++,FAMILY,4.4,77,10,10000,Free,0,Everyone,No,No,No
DH Pineapple Poker OFC,GAME,4.2,1878,20,100000,Free,0,Teen,Yes,Yes,No
Fit the Fat 2,SPORTS,3.8,35746,55,5000000,Free,0,Everyone,Yes,Yes,No
"AE + Aerie: Jeans, Dresses, Swimsuits & Bralettes",Others,4.2,20476,28,1000000,Free,0,Everyone,No,No,No
ArtFlow: Paint Draw Sketchbook,Others,3.7,31201,270,1000000,Free,0,Everyone,Yes,Yes,Yes
Quadratic Equation Solver with Steps and Graphs,FAMILY,4.7,513,98,50000,Free,0,Everyone,Yes,No,No
Photo Effects Pro,PHOTOGRAPHY,4.4,312204,21,19970000,Free,0,Everyone,Yes,Yes,No
Funny Ringtones,PERSONALIZATION,4.4,7146,14,1000000,Free,0,Everyone 10+,Yes,No,No
Light X - Icon Pack,PERSONALIZATION,4.6,252,24,10000,Paid,0.99,Everyone,No,No,No
Faraway: Puzzle Escape,Others,4.3,52591,270,1000000,Free,0,Everyone,Yes,Yes,Yes
Please Don't Touch Anything 3D,FAMILY,4.2,146,20,5000,Paid,5.99,Teen,No,No,No
RPG Toram Online - MMORPG,Others,4.5,312204,270,10000000,Free,0,Teen,No,Yes,Yes
DM for WhatsApp,COMMUNICATION,4.4,25,29,5000,Free,0,Everyone,Yes,No,No
Teenage Chat & Dating,Others,3.4,5,14,500,Free,0,Mature 17+,Yes,No,No
"WeatherClear - Ad-free Weather, Minute forecast",Others,4.5,3252,38,50000,Free,0,Everyone,No,No,No
Fat No More - Be the Biggest Loser in the Gym!,FAMILY,3.8,48545,38,1000000,Free,0,Everyone,Yes,Yes,No
Greeting Cards & Wishes,Others,4.5,17350,12,500000,Free,0,Everyone,Yes,Yes,No
Atlanta United FC,SPORTS,3.7,215,76,10000,Free,0,Everyone,No,No,No
Cytus II,GAME,4.7,16851,81,100000,Paid,1.99,Everyone 10+,No,Yes,Yes
Learn R Language Easy Way,FAMILY,4.1,17,22,10000,Free,0,Everyone,Yes,No,No
My Talking Hank,Others,4.3,312204,270,19970000,Free,0,Everyone,Yes,Yes,Yes
Nasty Goats,FAMILY,4.3,45579,64,1000000,Free,0,Everyone,No,No,No
Unroll Me 2,Others,4,5162,270,1000000,Free,0,Everyone,Yes,Yes,Yes
HD Video Player,Others,,1551,29,1000000,Free,0,Everyone,Yes,No,No
Cy-Fair FCU Mobile Banking,FINANCE,4.7,439,13,5000,Free,0,Everyone,No,No,No
detikcom - Berita Terbaru & Terlengkap,Others,4.2,291018,270,10000000,Free,0,Teen,Yes,No,Yes
CA Auth ID,TOOLS,3.8,39,0.375,10000,Free,0,Teen,No,No,No
HTC Sense Input - ES,TOOLS,4.3,3509,65,1000000,Free,0,Everyone,No,No,No
Baby Sleep - White Noise,HEALTH_AND_FITNESS,4.6,39319,270,1000000,Free,0,Everyone,Yes,Yes,Yes
Hotels Combined - Cheap deals,Others,4.1,17202,12,5000000,Free,0,Everyone,Yes,No,No
Add-On: Alcatel (h),PRODUCTIVITY,,107,12,50000,Free,0,Everyone,No,No,No
